CANADA	5000	2500	5000	0	500	1500	2500	8500	15000	25000
EE.UU.	6000	3000	5000	0	500	1500	2500	8500	15000	25000
COSTA RICA	8000	4000	5000	0	1000	3000	6500	18500	32500	46000
VENEZUELA	12000	6000	5000	1	1500	3000	8500	26000	39000	54000
ARGENTINA	15000	7500	5000	1	1500	4500	9000	27000	40000	54000
BRASIL	18000	9000	5000	1	2000	6000	12000	29000	45000	61000
ESPAÑA	15000	7500	10000	2	2000	5000	14000	44000	62000	725000
ITALIA	18000	9000	10000	2	2500	6000	14000	45000	62000	725000
FRANCIA	20000	10000	10000	2	2500	8000	18000	50000	70000	85000
INGLATERRA	18000	9000	10000	3	3000	7000	19000	50000	70000	90000
ALEMANIA	20000	10000	10000	3	3000	7000	19000	50000	70000	90000
HOLANDA	22000	11000	10000	3	3500	8000	21000	57000	88000	95000
RUSIA	27000	13500	15000	4	3500	8000	24000	65000	85000	100000
INDIA	20000	10000	15000	4	3500	8000	24000	65000	85000	100000
ISRAEL	25000	12500	15000	4	4000	10000	30000	70000	90000	105000
CHINA	27000	12500	15000	5	4000	10500	32000	80000	95000	110000
JAPON	25000	11000	15000	5	4000	10000	32000	80000	95000	110000
HAWAI	27000	13500	15000	5	4500	11000	35000	85000	100000	115000
EGIPTO	25000	12500	20000	6	4500	12500	37000	85000	105000	125000
NIGERIA	27000	13500	20000	6	4500	12500	37000	85000	105000	125000
TUNEZ	30000	15000	20000	6	5000	14000	39000	90000	110000	130000
ETIOPIA	30000	15000	20000	7	5000	15000	54000	95000	110000	135000
ARGELIA	32000	16000	20000	7	5500	15000	45000	95000	111000	135000
MARRUECOS	35000	17500	20000	7	6000	17000	50000	110000	130000	150000
